full_name,title,company_name
Marta Ibanez,CTO,Nordwind Analytics
Jonas Weber,CEO,Nordwind Analytics
Diego Fuentes,Data Engineer,Nordwind Analytics
Carla Ruiz,Managing Director,Nordwind Analytica
Tomas Prieto,SEO Lead,Nordwind Analytica
Anneke Visser,Operations Manager,Cobalt Marine
Ruben de Groot,Fleet Analyst,Cobalt Marine
Priya Natarajan,VP Engineering,Helios Data
Sam Whitaker,Solutions Architect,Helios Data
Grace Okafor,Chief Medical Officer,Verdant Health
Lena Kovac,Board Member,Verdant Health
Lena Kovac,CFO,Aurora BioLabs
Daniel Osei,Research Director,Aurora BioLabs
Yuki Tanaka,Head of R&D,Bluepeak Robotics
Maria Quintero,CEO,Quila Foods
Avi Shulman,CISO,Sable Security
Julieta Paz,Plant Manager,Pampa Solar
Oliver Hartley,Partner,Kite & Crane
Zofia Nowak,Game Director,Tessera Games
