company_name,industry,city,domain
Nordwind Analytics,Data Analytics,Berlin,nordwind-analytics.io
Nordwind Analytica,Marketing,Madrid,
Cobalt Marine,Logistics,Rotterdam,
Helios Data,Cloud Services,Austin,
Verdant Health,Healthcare,Toronto,verdanthealth.ca
Bluepeak Robotics,Robotics,Osaka,bluepeak.jp
Quila Foods,Food & Beverage,Mexico City,quilafoods.mx
Sable Security,Cybersecurity,Tel Aviv,sablesec.com
Aurora BioLabs,Healthcare,Boston,aurorabiolabs.com
Pampa Solar,Renewable Energy,Buenos Aires,
Kite & Crane,Consulting,London,kiteandcrane.co.uk
Tessera Games,Gaming,Warsaw,tessera.games
